2025-06-11 11:10:39,973 - INFO - PAPER BUY: 0.087601 ETH-USD @ $2853.8479 - Live strong momentum - STRONG_UP
2025-06-11 11:10:40,269 - INFO - PAPER BUY: 1.499674 SOL-USD @ $166.7029 - Live strong momentum - STRONG_UP
2025-06-11 11:10:46,697 - INFO - Portfolio: $5,000.00 | Cash: $4500.00 | Return: +0.00%
2025-06-11 11:16:04,219 - INFO - Portfolio: $4,999.15 | Cash: $4500.00 | Return: -0.02%
2025-06-11 11:21:26,071 - INFO - Portfolio: $4,999.93 | Cash: $4500.00 | Return: -0.00%
2025-06-11 11:26:43,035 - INFO - Portfolio: $4,999.70 | Cash: $4500.00 | Return: -0.01%
2025-06-11 11:32:09,546 - INFO - Portfolio: $5,000.86 | Cash: $4500.00 | Return: +0.02%
2025-06-11 11:37:31,761 - INFO - Portfolio: $5,000.60 | Cash: $4500.00 | Return: +0.01%
2025-06-11 11:42:53,091 - INFO - Portfolio: $5,000.75 | Cash: $4500.00 | Return: +0.01%
2025-06-11 11:48:18,362 - INFO - Portfolio: $5,001.31 | Cash: $4500.00 | Return: +0.03%
2025-06-11 11:53:38,769 - INFO - Portfolio: $5,001.45 | Cash: $4500.00 | Return: +0.03%
2025-06-11 11:58:44,743 - INFO - Portfolio: $5,001.94 | Cash: $4500.00 | Return: +0.04%
2025-06-11 12:04:01,461 - INFO - Portfolio: $5,001.46 | Cash: $4500.00 | Return: +0.03%
2025-06-11 12:09:10,606 - INFO - Portfolio: $4,998.25 | Cash: $4500.00 | Return: -0.04%
2025-06-11 12:14:22,063 - INFO - Portfolio: $4,999.03 | Cash: $4500.00 | Return: -0.02%
2025-06-11 12:19:32,176 - INFO - Portfolio: $4,999.31 | Cash: $4500.00 | Return: -0.01%
2025-06-11 12:24:38,269 - INFO - Portfolio: $4,998.63 | Cash: $4500.00 | Return: -0.03%
2025-06-11 12:29:44,755 - INFO - Portfolio: $5,000.36 | Cash: $4500.00 | Return: +0.01%
2025-06-11 12:35:13,758 - INFO - Portfolio: $5,001.03 | Cash: $4500.00 | Return: +0.02%
2025-06-11 12:40:27,430 - INFO - Portfolio: $4,999.67 | Cash: $4500.00 | Return: -0.01%
2025-06-11 12:45:35,976 - INFO - Portfolio: $4,999.95 | Cash: $4500.00 | Return: -0.00%
2025-06-11 12:50:55,855 - INFO - Portfolio: $4,996.66 | Cash: $4500.00 | Return: -0.07%
2025-06-11 12:56:15,343 - INFO - Portfolio: $4,995.31 | Cash: $4500.00 | Return: -0.09%
2025-06-11 13:01:31,685 - INFO - Portfolio: $4,995.14 | Cash: $4500.00 | Return: -0.10%
2025-06-11 13:06:48,544 - INFO - Portfolio: $4,992.94 | Cash: $4500.00 | Return: -0.14%
2025-06-11 13:12:05,867 - INFO - Portfolio: $4,992.48 | Cash: $4500.00 | Return: -0.15%
